collection_date,overall_airfare_index,week,month
2026-07-01,99.99999999999997,2026-06-29/2026-07-05,2026-07
2026-07-02,101.40242159901103,2026-06-29/2026-07-05,2026-07
2026-07-03,103.7370100593353,2026-06-29/2026-07-05,2026-07
2026-07-04,104.24856801050676,2026-06-29/2026-07-05,2026-07
2026-07-05,99.3556579770094,2026-06-29/2026-07-05,2026-07
2026-07-06,97.95617857717832,2026-07-06/2026-07-12,2026-07
2026-07-07,97.79360146683571,2026-07-06/2026-07-12,2026-07
2026-07-08,99.44993685203886,2026-07-06/2026-07-12,2026-07
2026-07-09,102.36518586750933,2026-07-06/2026-07-12,2026-07
2026-07-10,103.55570025916538,2026-07-06/2026-07-12,2026-07
2026-07-11,104.48625546130143,2026-07-06/2026-07-12,2026-07
2026-07-12,100.18565421483618,2026-07-06/2026-07-12,2026-07
2026-07-13,96.63169025177692,2026-07-13/2026-07-19,2026-07
2026-07-14,97.54097698846381,2026-07-13/2026-07-19,2026-07
2026-07-15,99.52075711521063,2026-07-13/2026-07-19,2026-07
2026-07-16,101.15407575942126,2026-07-13/2026-07-19,2026-07
2026-07-17,103.20374516165589,2026-07-13/2026-07-19,2026-07
2026-07-18,104.27996028104819,2026-07-13/2026-07-19,2026-07
2026-07-19,99.45988558685522,2026-07-13/2026-07-19,2026-07
2026-07-20,98.65700735009322,2026-07-20/2026-07-26,2026-07
2026-07-21,98.82533326175893,2026-07-20/2026-07-26,2026-07
2026-07-22,99.1074734295513,2026-07-20/2026-07-26,2026-07
2026-07-23,101.00130891007274,2026-07-20/2026-07-26,2026-07
2026-07-24,103.92048706017124,2026-07-20/2026-07-26,2026-07
2026-07-25,104.93539837947694,2026-07-20/2026-07-26,2026-07
2026-07-26,99.9879776609246,2026-07-20/2026-07-26,2026-07
2026-07-27,98.23084409208694,2026-07-27/2026-08-02,2026-07
2026-07-28,98.5187727989642,2026-07-27/2026-08-02,2026-07
2026-07-29,100.45148474390977,2026-07-27/2026-08-02,2026-07
2026-07-30,100.67004702797371,2026-07-27/2026-08-02,2026-07
2026-07-31,102.90486133977008,2026-07-27/2026-08-02,2026-07
2026-08-01,103.79797620511616,2026-07-27/2026-08-02,2026-08
2026-08-02,100.15656100328293,2026-07-27/2026-08-02,2026-08
2026-08-03,97.78560559421223,2026-08-03/2026-08-09,2026-08
2026-08-04,98.06238680121122,2026-08-03/2026-08-09,2026-08
2026-08-05,99.24989526923687,2026-08-03/2026-08-09,2026-08
2026-08-06,101.05697076602716,2026-08-03/2026-08-09,2026-08
2026-08-07,104.15758101231964,2026-08-03/2026-08-09,2026-08
2026-08-08,103.16540118829612,2026-08-03/2026-08-09,2026-08
2026-08-09,99.35590601284306,2026-08-03/2026-08-09,2026-08
2026-08-10,98.40993449274234,2026-08-10/2026-08-16,2026-08
2026-08-11,97.80870363841984,2026-08-10/2026-08-16,2026-08
2026-08-12,99.47819599035104,2026-08-10/2026-08-16,2026-08
2026-08-13,101.471150501951,2026-08-10/2026-08-16,2026-08
2026-08-14,102.51112750642179,2026-08-10/2026-08-16,2026-08
2026-08-15,103.8186389323163,2026-08-10/2026-08-16,2026-08
2026-08-16,100.06710418946463,2026-08-10/2026-08-16,2026-08
2026-08-17,96.87660437873791,2026-08-17/2026-08-23,2026-08
2026-08-18,98.49476698335843,2026-08-17/2026-08-23,2026-08
2026-08-19,98.494820421691,2026-08-17/2026-08-23,2026-08
2026-08-20,100.94879009211307,2026-08-17/2026-08-23,2026-08
2026-08-21,103.73032634167824,2026-08-17/2026-08-23,2026-08
2026-08-22,104.71467294967788,2026-08-17/2026-08-23,2026-08
2026-08-23,100.81532982861415,2026-08-17/2026-08-23,2026-08
2026-08-24,97.96107003141647,2026-08-24/2026-08-30,2026-08
2026-08-25,98.11433211198748,2026-08-24/2026-08-30,2026-08
2026-08-26,99.64449782064665,2026-08-24/2026-08-30,2026-08
2026-08-27,101.54837392320023,2026-08-24/2026-08-30,2026-08
2026-08-28,103.91814810938088,2026-08-24/2026-08-30,2026-08
2026-08-29,103.35361244066135,2026-08-24/2026-08-30,2026-08
2026-08-30,100.0929265856116,2026-08-24/2026-08-30,2026-08
2026-08-31,97.21339763598071,2026-08-31/2026-09-06,2026-08
2026-09-01,96.10100291749335,2026-08-31/2026-09-06,2026-09
2026-09-02,99.39758747832033,2026-08-31/2026-09-06,2026-09
2026-09-03,100.3460136153814,2026-08-31/2026-09-06,2026-09
