collection_date,route,advance_days,representative_fare,observation_count
2026-07-01,BLR_DEL,1,12766.82,7
2026-07-01,BLR_HYD,1,7969.66,10
2026-07-01,BOM_BLR,1,10536.8,21
2026-07-01,BOM_DEL,1,11787.115,14
2026-07-01,CCU_DEL,1,12308.66,10
2026-07-01,DEL_BLR,1,13136.69,14
2026-07-01,DEL_BOM,1,11601.5,19
2026-07-01,DEL_CCU,1,11537.265,14
2026-07-01,HYD_DEL,1,10507.67,14
2026-07-01,MAA_DEL,1,14184.83,13
2026-07-01,BLR_DEL,7,10173.86,11
2026-07-01,BLR_HYD,7,5977.64,15
2026-07-01,BOM_BLR,7,7932.34,17
2026-07-01,BOM_DEL,7,9014.355,14
2026-07-01,CCU_DEL,7,10115.5,19
2026-07-01,DEL_BLR,7,9534.44,13
2026-07-01,DEL_BOM,7,9592.17,15
2026-07-01,DEL_CCU,7,10379.28,21
2026-07-01,HYD_DEL,7,8597.87,17
2026-07-01,MAA_DEL,7,11078.26,15
2026-07-01,BLR_DEL,15,8999.96,13
2026-07-01,BLR_HYD,15,5421.8,12
2026-07-01,BOM_BLR,15,6400.97,15
2026-07-01,BOM_DEL,15,7879.1,11
2026-07-01,CCU_DEL,15,7770.5,15
2026-07-01,DEL_BLR,15,8958.545,18
2026-07-01,DEL_BOM,15,7519.805,16
2026-07-01,DEL_CCU,15,8472.825,16
2026-07-01,HYD_DEL,15,7450.45,11
2026-07-01,MAA_DEL,15,9493.135,18
2026-07-01,BLR_DEL,30,7815.85,10
2026-07-01,BLR_HYD,30,4301.545,14
2026-07-01,BOM_BLR,30,6115.514999999999,16
2026-07-01,BOM_DEL,30,6848.37,9
2026-07-01,CCU_DEL,30,6733.35,13
2026-07-01,DEL_BLR,30,7623.15,6
2026-07-01,DEL_BOM,30,7151.67,17
2026-07-01,DEL_CCU,30,7713.21,15
2026-07-01,HYD_DEL,30,6347.889999999999,16
2026-07-01,MAA_DEL,30,8161.56,15
2026-07-01,BLR_DEL,45,8566.51,11
2026-07-01,BLR_HYD,45,4603.35,20
2026-07-01,BOM_BLR,45,6142.85,12
2026-07-01,BOM_DEL,45,7155.57,13
2026-07-01,CCU_DEL,45,7085.785,16
2026-07-01,DEL_BLR,45,8901.25,9
2026-07-01,DEL_BOM,45,7146.81,21
2026-07-01,DEL_CCU,45,7506.02,15
2026-07-01,HYD_DEL,45,6175.18,13
2026-07-01,MAA_DEL,45,8226.95,11
2026-07-02,BLR_DEL,1,14458.314999999999,14
2026-07-02,BLR_HYD,1,7537.93,9
2026-07-02,BOM_BLR,1,10258.66,11
2026-07-02,BOM_DEL,1,11621.74,15
2026-07-02,CCU_DEL,1,12603.830000000002,14
2026-07-02,DEL_BLR,1,12767.26,13
