collection_date,national_link_index,routes_present,total_observations,previous_collection_date,expected_routes,route_coverage_ratio,lead_windows_present,expected_lead_windows,lead_time_coverage_ratio,observed_strata,required_strata,stratum_coverage_ratio,missing_routes,missing_lead_windows,coverage_complete,coverage_status,national_index,index_status
2026-09-02,0.0,1,1244,,20,0.05,5,5,1.0,5,100,0.05,"AMD_DEL,BLR_BOM,BLR_DEL,BLR_HYD,BOM_BLR,BOM_DEL,BOM_GOI,BOM_MAA,CCU_DEL,DEL_AMD,DEL_BLR,DEL_CCU,DEL_GOI,DEL_HYD,DEL_MAA,HYD_BLR,HYD_DEL,MAA_BOM,MAA_DEL",,False,INSUFFICIENT_COVERAGE,,INSUFFICIENT_COVERAGE
2026-09-03,0.0,1,373,,20,0.05,5,5,1.0,5,100,0.05,"AMD_DEL,BLR_BOM,BLR_DEL,BLR_HYD,BOM_BLR,BOM_DEL,BOM_GOI,BOM_MAA,CCU_DEL,DEL_AMD,DEL_BLR,DEL_CCU,DEL_GOI,DEL_HYD,DEL_MAA,HYD_BLR,HYD_DEL,MAA_BOM,MAA_DEL",,False,INSUFFICIENT_COVERAGE,,INSUFFICIENT_COVERAGE
2026-09-04,0.0,20,23260,,20,1.0,5,5,1.0,100,100,1.0,,,True,PASS,100.0,VALID
2026-09-05,105.64171881648541,20,19747,2026-09-04,20,1.0,5,5,1.0,100,100,1.0,,,True,PASS,105.64171881648541,VALID
2026-09-06,86.71397364226213,20,37875,2026-09-05,20,1.0,5,5,1.0,100,100,1.0,,,True,PASS,91.60613220975983,VALID
2026-09-07,79.37151272102884,20,59272,2026-09-06,20,1.0,5,5,1.0,100,100,1.0,,,True,PASS,72.70917288011202,VALID
2026-09-08,103.4648045501991,20,117444,2026-09-07,20,1.0,5,5,1.0,100,100,1.0,,,True,PASS,75.22840361047427,VALID
2026-09-09,100.89975812285704,20,58719,2026-09-08,20,1.0,5,5,1.0,100,100,1.0,,,True,PASS,75.90527728265519,VALID
2026-09-10,108.08849410896613,20,27957,2026-09-09,20,1.0,5,5,1.0,100,100,1.0,,,True,PASS,82.04487116405717,VALID
2026-09-11,98.04309237206579,20,28565,2026-09-10,20,1.0,5,5,1.0,100,100,1.0,,,True,PASS,80.43932882191893,VALID
2026-09-12,94.95634810144432,20,30970,2026-09-11,20,1.0,5,5,1.0,100,100,1.0,,,True,PASS,76.38224908660678,VALID
2026-09-13,99.92445587156254,20,31218,2026-09-12,20,1.0,5,5,1.0,100,100,1.0,,,True,PASS,76.32454678225338,VALID
2026-09-14,101.5354910265367,20,31377,2026-09-13,20,1.0,5,5,1.0,100,100,1.0,,,True,PASS,77.49650334913969,VALID
2026-09-15,101.41413079037301,20,30925,2026-09-14,20,1.0,5,5,1.0,100,100,1.0,,,True,PASS,78.59240526446233,VALID
2026-09-16,108.64529869433748,20,38832,2026-09-15,20,1.0,5,5,1.0,100,100,1.0,,,True,PASS,85.38695345063933,VALID
2026-09-17,145.79361020759615,20,27097,2026-09-16,20,1.0,5,5,1.0,100,100,1.0,,,True,PASS,124.48872208196666,VALID
2026-09-18,100.46387491534155,20,30181,2026-09-17,20,1.0,5,5,1.0,100,100,1.0,,,True,PASS,125.06619403613415,VALID
2026-09-20,102.34692099348766,20,27826,2026-09-18,20,1.0,5,5,1.0,100,100,1.0,,,True,PASS,128.0013987997242,VALID
2026-09-21,98.50435167398322,20,37245,2026-09-20,20,1.0,5,5,1.0,100,100,1.0,,,True,PASS,126.08694802129807,VALID
