collection_date,route,advance_days,representative_fare,observation_count,source_count,matched_source_count,previous_collection_date,previous_representative_fare,stratum_link_index,stratum_index
2026-09-02,DEL_BOM,1,13579.0,371,1,1,,,,
2026-09-02,DEL_BOM,7,9569.0,353,1,1,,,,
2026-09-02,DEL_BOM,15,10086.0,238,1,1,,,,
2026-09-02,DEL_BOM,30,10422.0,148,1,1,,,,
2026-09-02,DEL_BOM,45,10959.0,134,1,1,,,,
2026-09-03,DEL_BOM,1,10576.0,75,1,1,,,,
2026-09-03,DEL_BOM,7,9979.5,74,1,1,,,,
2026-09-03,DEL_BOM,15,9813.5,72,1,1,,,,
2026-09-03,DEL_BOM,30,10371.5,74,1,1,,,,
2026-09-03,DEL_BOM,45,10306.0,78,1,1,,,,
2026-09-04,AMD_DEL,1,11410.0,141,2,2,,,,
2026-09-04,AMD_DEL,7,9462.5,160,2,2,,,,
2026-09-04,AMD_DEL,15,7812.25,164,2,2,,,,
2026-09-04,AMD_DEL,30,8906.5,167,2,2,,,,
2026-09-04,AMD_DEL,45,10101.5,177,2,2,,,,
2026-09-04,BLR_BOM,1,13616.0,223,1,1,,,,
2026-09-04,BLR_BOM,7,14850.0,219,1,1,,,,
2026-09-04,BLR_BOM,15,10149.0,231,1,1,,,,
2026-09-04,BLR_BOM,30,9907.0,241,1,1,,,,
2026-09-04,BLR_BOM,45,7799.0,225,1,1,,,,
2026-09-04,BLR_DEL,1,9919.5,274,2,2,,,,
2026-09-04,BLR_DEL,7,11108.5,304,2,2,,,,
2026-09-04,BLR_DEL,15,10292.0,276,2,2,,,,
2026-09-04,BLR_DEL,30,9241.0,292,2,2,,,,
2026-09-04,BLR_DEL,45,9991.0,328,2,2,,,,
2026-09-04,BLR_HYD,1,9684.25,225,2,2,,,,
2026-09-04,BLR_HYD,7,11074.0,209,2,2,,,,
2026-09-04,BLR_HYD,15,7462.5,216,2,2,,,,
2026-09-04,BLR_HYD,30,7830.0,227,2,2,,,,
2026-09-04,BLR_HYD,45,13940.0,190,1,1,,,,
2026-09-04,BOM_BLR,1,9203.75,278,2,2,,,,
2026-09-04,BOM_BLR,7,11212.0,285,2,2,,,,
2026-09-04,BOM_BLR,15,8617.5,275,2,2,,,,
2026-09-04,BOM_BLR,30,8794.0,303,2,2,,,,
2026-09-04,BOM_BLR,45,7946.0,253,1,1,,,,
2026-09-04,BOM_DEL,1,6847.0,296,2,2,,,,
2026-09-04,BOM_DEL,7,10118.5,325,2,2,,,,
2026-09-04,BOM_DEL,15,6876.5,303,2,2,,,,
2026-09-04,BOM_DEL,30,7088.75,332,2,2,,,,
2026-09-04,BOM_DEL,45,7218.0,323,2,2,,,,
2026-09-04,BOM_GOI,1,11591.5,209,2,2,,,,
2026-09-04,BOM_GOI,7,15055.75,170,2,2,,,,
2026-09-04,BOM_GOI,15,9430.0,211,2,2,,,,
2026-09-04,BOM_GOI,30,7366.5,229,2,2,,,,
2026-09-04,BOM_GOI,45,10747.0,180,1,1,,,,
2026-09-04,BOM_MAA,1,8197.0,220,2,2,,,,
2026-09-04,BOM_MAA,7,11804.5,263,2,2,,,,
2026-09-04,BOM_MAA,15,7735.0,210,2,2,,,,
2026-09-04,BOM_MAA,30,8932.0,249,2,2,,,,
2026-09-04,BOM_MAA,45,7484.0,243,2,2,,,,
2026-09-04,CCU_DEL,1,9754.0,168,1,1,,,,
2026-09-04,CCU_DEL,7,9568.0,187,1,1,,,,
2026-09-04,CCU_DEL,15,9354.0,161,1,1,,,,
2026-09-04,CCU_DEL,30,10763.0,203,1,1,,,,
2026-09-04,CCU_DEL,45,17075.0,221,1,1,,,,
2026-09-04,DEL_AMD,1,11346.0,171,2,2,,,,
2026-09-04,DEL_AMD,7,9341.0,172,2,2,,,,
2026-09-04,DEL_AMD,15,8395.5,180,2,2,,,,
2026-09-04,DEL_AMD,30,10221.5,181,2,2,,,,
2026-09-04,DEL_AMD,45,9033.0,182,2,2,,,,
2026-09-04,DEL_BLR,1,11476.0,308,2,2,,,,
2026-09-04,DEL_BLR,7,10401.5,317,2,2,,,,
2026-09-04,DEL_BLR,15,10066.0,289,2,2,,,,
2026-09-04,DEL_BLR,30,10711.0,319,2,2,,,,
2026-09-04,DEL_BLR,45,10736.5,336,2,2,,,,
2026-09-04,DEL_BOM,1,6947.5,307,2,2,,,,
2026-09-04,DEL_BOM,7,8228.5,370,2,2,,,,
2026-09-04,DEL_BOM,15,6845.0,309,2,2,,,,
2026-09-04,DEL_BOM,30,7336.75,330,2,2,,,,
2026-09-04,DEL_BOM,45,7009.5,334,2,2,,,,
2026-09-04,DEL_CCU,1,11784.0,185,1,1,,,,
2026-09-04,DEL_CCU,7,9732.0,178,1,1,,,,
2026-09-04,DEL_CCU,15,8984.0,170,1,1,,,,
2026-09-04,DEL_CCU,30,9425.0,162,1,1,,,,
2026-09-04,DEL_CCU,45,12500.0,196,1,1,,,,
2026-09-04,DEL_GOI,1,12919.0,167,1,1,,,,
2026-09-04,DEL_GOI,7,18223.0,202,1,1,,,,
2026-09-04,DEL_GOI,15,10458.0,188,1,1,,,,
2026-09-04,DEL_GOI,30,10526.0,206,1,1,,,,
2026-09-04,DEL_GOI,45,9744.5,236,2,2,,,,
2026-09-04,DEL_HYD,1,12842.0,184,1,1,,,,
2026-09-04,DEL_HYD,7,11114.0,165,1,1,,,,
2026-09-04,DEL_HYD,15,10130.0,189,1,1,,,,
2026-09-04,DEL_HYD,30,11205.0,176,1,1,,,,
2026-09-04,DEL_HYD,45,10962.0,198,1,1,,,,
2026-09-04,DEL_MAA,1,11446.0,259,2,2,,,,
2026-09-04,DEL_MAA,7,12139.0,261,2,2,,,,
2026-09-04,DEL_MAA,15,11226.5,250,2,2,,,,
2026-09-04,DEL_MAA,30,12531.0,265,2,2,,,,
2026-09-04,DEL_MAA,45,11129.0,262,2,2,,,,
2026-09-04,HYD_BLR,1,11061.5,230,2,2,,,,
2026-09-04,HYD_BLR,7,11786.0,219,2,2,,,,
2026-09-04,HYD_BLR,15,7144.5,215,2,2,,,,
2026-09-04,HYD_BLR,30,7568.5,212,2,2,,,,
2026-09-04,HYD_BLR,45,6006.0,223,2,2,,,,
2026-09-04,HYD_DEL,1,13835.0,169,1,1,,,,
2026-09-04,HYD_DEL,7,13104.0,190,1,1,,,,
2026-09-04,HYD_DEL,15,9373.0,167,1,1,,,,
2026-09-04,HYD_DEL,30,9846.0,205,1,1,,,,
2026-09-04,HYD_DEL,45,9339.0,207,1,1,,,,
2026-09-04,MAA_BOM,1,10754.0,257,2,2,,,,
2026-09-04,MAA_BOM,7,12530.5,257,2,2,,,,
2026-09-04,MAA_BOM,15,10419.0,186,1,1,,,,
2026-09-04,MAA_BOM,30,9526.25,250,2,2,,,,
2026-09-04,MAA_BOM,45,8606.0,251,2,2,,,,
2026-09-04,MAA_DEL,1,11966.0,225,2,2,,,,
2026-09-04,MAA_DEL,7,12514.5,238,2,2,,,,
2026-09-04,MAA_DEL,15,11527.5,253,2,2,,,,
2026-09-04,MAA_DEL,30,11553.0,258,2,2,,,,
2026-09-04,MAA_DEL,45,11057.0,258,2,2,,,,
2026-09-05,AMD_DEL,1,11656.0,92,1,1,2026-09-04,16509.0,70.60391301714216,70.60391301714216
2026-09-05,AMD_DEL,7,10576.0,104,1,1,2026-09-04,12194.0,86.7311792684927,86.7311792684927
2026-09-05,AMD_DEL,15,9654.0,98,1,1,2026-09-04,9259.5,104.26048922728009,104.26048922728009
2026-09-05,AMD_DEL,30,9051.0,110,1,1,2026-09-04,11028.0,82.07290533188248,82.07290533188248
2026-09-05,AMD_DEL,45,13838.0,127,1,1,2026-09-04,13838.0,100.0,100.0
2026-09-05,BLR_BOM,1,14752.0,177,1,1,2026-09-04,13616.0,108.34312573443007,108.34312573443007
2026-09-05,BLR_BOM,7,12447.0,220,1,1,2026-09-04,14850.0,83.81818181818181,83.81818181818181
2026-09-05,BLR_BOM,15,10826.0,219,1,1,2026-09-04,10149.0,106.67060794166913,106.67060794166913
2026-09-05,BLR_BOM,30,7799.0,244,1,1,2026-09-04,9907.0,78.72211567578479,78.72211567578479
2026-09-05,BLR_BOM,45,8505.0,243,1,1,2026-09-04,7799.0,109.05244262084884,109.05244262084884
2026-09-05,BLR_DEL,1,15963.0,237,1,1,2026-09-04,11459.0,139.30534950693777,139.30534950693777
2026-09-05,BLR_DEL,7,13231.0,222,1,1,2026-09-04,13758.0,96.16950138101468,96.16950138101468
2026-09-05,BLR_DEL,15,11120.0,235,1,1,2026-09-04,10807.0,102.89627093550477,102.89627093550477
2026-09-05,BLR_DEL,30,9320.0,254,1,1,2026-09-04,10118.0,92.11306582328524,92.11306582328524
2026-09-05,BLR_DEL,45,10075.0,274,1,1,2026-09-04,10377.0,97.08971764479136,97.08971764479136
2026-09-05,BLR_HYD,1,15040.0,141,1,1,2026-09-04,12396.0,121.32946111648918,121.32946111648918
2026-09-05,BLR_HYD,7,14323.0,173,1,1,2026-09-04,15424.0,92.86177385892115,92.86177385892115
2026-09-05,BLR_HYD,15,10435.0,169,1,1,2026-09-04,9730.0,107.24563206577595,107.24563206577595
2026-09-05,BLR_HYD,30,9194.0,174,1,1,2026-09-04,10582.0,86.88338688338688,86.88338688338688
2026-09-05,BLR_HYD,45,8303.5,176,1,1,2026-09-04,13940.0,59.565997130559545,59.565997130559545
2026-09-05,BOM_BLR,1,16006.0,237,1,1,2026-09-04,11742.5,136.30828188205237,136.30828188205237
2026-09-05,BOM_BLR,7,12610.0,223,1,1,2026-09-04,14663.0,85.99877242037782,85.99877242037782
2026-09-05,BOM_BLR,15,11238.0,231,1,1,2026-09-04,9858.0,113.99878271454655,113.99878271454655
2026-09-05,BOM_BLR,30,8194.0,244,1,1,2026-09-04,10389.0,78.87188372316874,78.87188372316874
2026-09-05,BOM_BLR,45,7840.0,231,1,1,2026-09-04,7946.0,98.66599546941858,98.66599546941858
2026-09-05,BOM_DEL,1,13224.0,258,1,1,2026-09-04,7191.0,183.89653733833958,183.89653733833958
2026-09-05,BOM_DEL,7,8521.0,249,1,1,2026-09-04,13675.0,62.310786106032914,62.310786106032914
2026-09-05,BOM_DEL,15,8246.0,260,1,1,2026-09-04,7191.0,114.67111667361979,114.67111667361979
2026-09-05,BOM_DEL,30,7238.0,276,1,1,2026-09-04,7615.5,95.04300439892324,95.04300439892324
