collection_timestamp,source,origin,destination,travel_date,airline,flight_number,fare_class,advance_days,base_fare,taxes,fees,total_fare,currency,availability
2026-07-13 05:07:00,air_india,BOM,DEL,2026-07-20 05:07:00,Akasa Air,QP9618,Economy,7,6524.09,1129.46,411.68,8065.24,INR,available
2026-09-02 15:19:00,makemytrip,BLR,DEL,2026-10-02 15:19:00,Air India Express,IX3485,Economy Flex,30,7004.85,1267.36,234.04,8506.25,INR,available
2026-07-01 19:29:00,goibibo,BLR,DEL,2026-07-08 19:29:00,Akasa Air,QP4234,Economy Flex,7,,1254.76,294.04,9752.87,INR,available
2026-07-18 01:25:00,cleartrip,BLR,HYD,2026-09-01 01:25:00,Air India,AI5391,Economy Flex,45,4387.3,734.68,285.11,5407.09,INR,available
2026-07-25 21:15:00,goibibo,BLR,HYD,2026-09-08 21:15:00,Akasa Air,QP4580,Economy Flex,45,3442.9,663.98,441.11,4548.0,INR,available
2026-08-11 01:26:00,cleartrip,HYD,DEL,2026-08-12 01:26:00,SpiceJet,SG6278,Economy Flex,1,8948.36,1646.79,421.44,11016.6,INR,available
2026-08-06 19:09:00,easemytrip,CCU,DEL,2026-08-07 19:09:00,Air India,AI5710,Economy,1,9391.33,2041.61,223.75,11656.68,INR,available
2026-07-14 19:13:00,cleartrip,MAA,DEL,2026-07-29 19:13:00,Air India,AI9150,Economy Flex,15,8600.51,1782.2,391.85,,INR,available
2026-07-31 09:04:00,goibibo,CCU,DEL,2026-08-15 09:04:00,Akasa Air,QP3125,Economy Flex,15,9397.96,1810.18,231.21,11439.35,INR,available
2026-09-03 04:33:00,easemytrip,MAA,DEL,2026-10-18 04:33:00,Air India,AI4834,Economy Flex,45,8537.89,1830.17,360.12,10728.18,INR,available
2026-09-02 07:44:00,cleartrip,BLR,HYD,2026-10-02 07:44:00,IndiGo,6E617,Economy Flex,30,3884.23,818.97,355.33,5058.53,INR,available
2026-07-30 00:07:00,cleartrip,CCU,DEL,2026-09-13 00:07:00,Akasa Air,QP2778,Economy Flex,45,7776.61,1213.42,361.63,9351.65,INR,available
2026-08-19 21:39:00,easemytrip,MAA,DEL,2026-08-26 21:39:00,Air India Express,IX8415,Economy Flex,7,9471.8,1963.94,435.01,11870.74,INR,available
